actual,proposed
0.30000463128089905,0.25495025515556335
0.3015044629573822,0.2561851143836975
0.30300432443618774,0.25741517543792725
0.3045041859149933,0.2586364448070526
0.30600404739379883,0.2598564624786377
0.30750390887260437,0.26108983159065247
0.3090038001537323,0.26230713725090027
0.15238399803638458,0.221731036901474
0.15276455879211426,0.2203582525253296
0.15529286861419678,0.21988478302955627
0.15776026248931885,0.21857084333896637
0.1601690798997879,0.21807846426963806
0.15519747138023376,0.2165614366531372
0.1531791090965271,0.21572858095169067
0.1467219442129135,0.21400313079357147
0.13588865101337433,0.21217472851276398
0.12945690751075745,0.21109513938426971
0.11864502727985382,0.20886872708797455
0.10351292043924332,0.20632873475551605
0.0841178223490715,0.2032293826341629
0.06923216581344604,0.20068269968032837
0.05006934329867363,0.1971631646156311
0.026684356853365898,0.19352208077907562
0.003488851711153984,0.18966719508171082
0.0,0.18565848469734192
0.0,0.18158891797065735
0.0,0.17633390426635742
0.0,0.17105895280838013
0.0,0.1656906008720398
0.0,0.16190364956855774
0.0,0.15585877001285553
0.0,0.1517811119556427
0.0,0.14678779244422913
0.0,0.14138633012771606
0.0,0.13659635186195374
0.0,0.13206394016742706
0.0,0.1282898187637329
0.0,0.12237115204334259
0.0,0.11900927126407623
0.0,0.113609679043293
0.0,0.1099073737859726
0.0,0.10531045496463776
0.0,0.1012091338634491
0.0,0.09765710681676865
0.0,0.09388093650341034
0.0,0.09039930999279022
0.0,0.08753937482833862
0.0,0.08276127278804779
0.0,0.08031269162893295
0.0,0.07660599052906036
0.0,0.07449895888566971
0.0,0.071800597012043
0.0,0.07093072682619095
0.0,0.07079435139894485
0.0,0.06860031187534332
0.0,0.06856976449489594
0.0,0.06675587594509125
0.0,0.06664267182350159
0.0,0.06585806608200073
0.0,0.06492055952548981
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.30000001192092896
0.0,0.16254189610481262
0.00997406430542469,0.16421613097190857
0.022319070994853973,0.1656491905450821
0.043141577392816544,0.167506605386734
0.05925390496850014,0.16953915357589722
0.075090691447258,0.17127391695976257
0.09938178211450577,0.17445456981658936
0.11894083023071289,0.1768740713596344
0.1294858455657959,0.17835277318954468
0.15294551849365234,0.1814834624528885
0.1629919409751892,0.18300016224384308
0.17725719511508942,0.18510939180850983
0.19132819771766663,0.18723589181900024
0.20085477828979492,0.1888437420129776
0.20590564608573914,0.1898871660232544
0.2109055519104004,0.19095642864704132
0.22021591663360596,0.19258621335029602
0.2207016497850418,0.19310273230075836
0.22556547820568085,0.1942078322172165
0.2260282337665558,0.19475281238555908
0.22215233743190765,0.19469961524009705
0.21835651993751526,0.1946459263563156
0.20591920614242554,0.193477600812912
0.20239366590976715,0.19337981939315796
0.1858556866645813,0.1915787011384964
0.17391927540302277,0.1903269737958908
0.1577950268983841,0.18838690221309662
0.13753558695316315,0.18600213527679443
0.11754992604255676,0.18335436284542084
0.09782540798187256,0.18084284663200378
0.07399089634418488,0.17763131856918335
0.04609508067369461,0.17370139062404633
0.018543172627687454,0.16995656490325928
3.7017241993453354e-05,0.1669553816318512
0.0,0.16041578352451324
0.0,0.15483564138412476
0.0,0.14907443523406982
0.0,0.14381839334964752
0.0,0.1400279849767685
0.0,0.13300205767154694
0.0,0.1270269900560379
0.0,0.12164093554019928
0.0,0.11580663919448853
0.0,0.11223584413528442
0.0,0.1043383926153183
0.0,0.09768736362457275
0.0,0.09228266775608063
0.0,0.08655893057584763
0.0,0.08139422535896301
0.0,0.07635308057069778
0.0,0.07107587903738022
0.0,0.06826762855052948
0.0,0.06622843444347382
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.30000001192092896
0.0,0.14002327620983124
0.0,0.14065194129943848
0.0,0.14145678281784058
0.0,0.1421549916267395
0.0,0.14288140833377838
0.0,0.1443236768245697
0.0,0.1454981416463852
0.0,0.1473228633403778
0.0,0.14828789234161377
0.0,0.15025150775909424
0.0,0.15103846788406372
0.0,0.15145456790924072
0.0,0.15253223478794098
0.0,0.15377727150917053
0.0,0.1547854244709015
0.004526791628450155,0.15583553910255432
0.014730039983987808,0.15697495639324188
0.024763567373156548,0.1582786589860916
0.030275912955403328,0.15871967375278473
0.031334370374679565,0.15892669558525085
0.036721475422382355,0.15956392884254456
0.037659935653209686,0.15964767336845398
0.03857304900884628,0.15970197319984436
0.04817967116832733,0.16093112528324127
0.05328323692083359,0.1616850346326828
0.06266822665929794,0.16290809214115143
0.05884190648794174,0.16248764097690582
0.050709523260593414,0.16150206327438354
0.03832881897687912,0.15994034707546234
0.030473140999674797,0.15886706113815308
0.027074240148067474,0.15838311612606049
0.019349420443177223,0.1573488712310791
0.01607506535947323,0.15679150819778442
0.012827565893530846,0.15629532933235168
0.013964492827653885,0.15633884072303772
0.006347143556922674,0.15512238442897797
0.0031744157895445824,0.15463586151599884
2.2924399672774598e-05,0.1540696918964386
0.0,0.15347623825073242
0.0,0.15240024030208588
0.0,0.15173399448394775
0.0,0.15060754120349884
0.0,0.1500464528799057
0.24316257238388062,0.1492529958486557
0.24158048629760742,0.30000001192092896
0.240006223320961,0.2497071921825409
0.238438680768013,0.2496931552886963
0.2412363886833191,0.25037384033203125
0.23962022364139557,0.25034287571907043
0.23801171779632568,0.25029873847961426
0.23641033470630646,0.25036075711250305
0.23481501638889313,0.2503829598426819
0.2332252711057663,0.25037682056427
0.23164063692092896,0.2503208816051483
0.22570110857486725,0.24974919855594635
0.21546685695648193,0.24859683215618134
0.2053537666797638,0.24738629162311554
0.19535592198371887,0.24611063301563263
0.18110856413841248,0.24448262155056
0.16702581942081451,0.24230803549289703
0.15309925377368927,0.24062268435955048
0.13932135701179504,0.2388511449098587
0.12132584303617477,0.2359388917684555
0.10352461785078049,0.23368337750434875
0.08154941350221634,0.2301461547613144
0.06416923552751541,0.22780729830265045
0.03823497146368027,0.2239646166563034
0.012577012181282043,0.2201177328824997
0.0,0.21523718535900116
0.0,0.21119438111782074
0.0,0.20682725310325623
0.0,0.20153580605983734
0.0,0.19668978452682495
0.0,0.1910841315984726
0.0,0.18597042560577393
0.0,0.1815984547138214
0.0,0.17615418136119843
0.0,0.17037686705589294
0.0,0.16437764465808868
0.0,0.1609114408493042
0.0,0.15620683133602142
0.0,0.15195466578006744
0.0,0.14650020003318787
0.0,0.14201092720031738
0.0,0.1366676241159439
0.0,0.13317228853702545
0.0,0.1287897527217865
0.0,0.12391132861375809
0.0,0.1239800974726677
0.0,0.30000001192092896
0.0,0.21618039906024933
0.0,0.21520903706550598
0.0,0.2143852412700653
0.0,0.2133113592863083
0.0,0.21280820667743683
0.0,0.21162928640842438
0.0,0.21034985780715942
0.0,0.2091730237007141
0.0,0.20789892971515656
0.0,0.20823626220226288
0.0,0.20766909420490265
